Date,Close
2024-01-01,100.3000
2024-01-02,100.2260
2024-01-03,100.6949
2024-01-04,100.9919
2024-01-05,100.7166
2024-01-06,100.8010
2024-01-07,100.8364
2024-01-08,101.4513
2024-01-09,101.6095
2024-01-10,101.3760
2024-01-11,101.5779
2024-01-12,101.4627
2024-01-13,101.9143
2024-01-14,102.2040
2024-01-15,101.9257
2024-01-16,102.0088
2024-01-17,102.0437
2024-01-18,102.6584
2024-01-19,
2024-01-20,
2024-01-21,102.7848
2024-01-22,102.6696
2024-01-23,103.1212
2024-01-24,103.4109
2024-01-25,103.1326
2024-01-26,103.2157
2024-01-27,103.2506
2024-01-28,103.8652
2024-01-29,104.0234
2024-01-30,103.7898
2024-01-31,103.9917
2024-02-01,103.8765
2024-02-02,104.3281
2024-02-03,104.6178
2024-02-04,104.3395
2024-02-05,104.4226
2024-02-06,104.4575
2024-02-07,105.0721
2024-02-08,105.2303
2024-02-09,104.9967
2024-02-10,105.1986
2024-02-11,105.0834
2024-02-12,105.5350
2024-02-13,105.8247
2024-02-14,105.5464
2024-02-15,105.6295
2024-02-16,105.6644
2024-02-17,106.2790
2024-02-18,106.4372
2024-02-19,106.2036
2024-02-20,106.4055
2024-02-21,106.2903
2024-02-22,106.7419
2024-02-23,107.0316
2024-02-24,106.7533
2024-02-25,
2024-02-26,106.8713
2024-02-27,107.4859
2024-02-28,107.6441
2024-02-29,107.4105
2024-03-01,107.6124
2024-03-02,107.4972
2024-03-03,107.9488
2024-03-04,108.2385
2024-03-05,107.9602
2024-03-06,108.0433
2024-03-07,108.0782
2024-03-08,108.6928
2024-03-09,108.8510
2024-03-10,108.6174
2024-03-11,108.8193
2024-03-12,108.7041
2024-03-13,109.1557
2024-03-14,109.4454
2024-03-15,109.1671
2024-03-16,109.2502
2024-03-17,109.2851
2024-03-18,109.8997
2024-03-19,110.0579
2024-03-20,109.8243
2024-03-21,110.0262
2024-03-22,109.9110
2024-03-23,110.3626
2024-03-24,110.6523
2024-03-25,110.3740
2024-03-26,110.4571
2024-03-27,110.4920
2024-03-28,111.1066
2024-03-29,111.2648
2024-03-30,111.0312
